登記證核准日期,登記證核准編號,營業現狀,中文名稱,英文名稱,電話,傳真,網址,E-mail,登記地址,英文地址
2000/10/6,1,合法/營業,美洲山莊,Mei Zhou Hotel,039886017 9886716,,,,262宜蘭縣礁溪鄉德陽村仁愛路22號1-3樓,"1F.-3, No.22, Ren’ai Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2003/9/23,2,合法/營業,泉湯溫泉商務旅館,TANG CYUAN HOT SPRING HOTEL,39886123,39886000,,,262宜蘭縣礁溪鄉大忠村大忠路80號,"No.80, Dazhong Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/7/22,4,合法/營業,龍山旅社,Long Shan Hotel,039888699 0910299901,39889698,,travelking@travelking.com.tw,262宜蘭縣礁溪鄉仁愛路36號,"No.36, Ren’ai Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/7/29,5,合法/營業,紘冠飯店,CROWN HOTEL,"039873388,99",39873377,,crown@crown-hotel.com.tw,262宜蘭縣礁溪鄉德陽路140號,"No.140, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/7/27,7,合法/營業,山水旅館,sunsweet,39568755,39566662,,usyd25@yahoo.com.tw,265宜蘭縣羅東鎮和平路75號,"No.75, Heping Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/7/27,9,合法/營業,和斯頓旅社,HOST-ON EXQUISITE ARTICLE HOTEL,39888178,39888978,http://www.host-on.com.tw/,info@host-on.com.tw,262宜蘭縣礁溪鄉礁溪路五段99號1-5樓,"1-5F., No.99, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/5,10,合法/營業,華閣溫泉飯店,Hot Spring Hotel,39882016,39882018,,,262宜蘭縣礁溪鄉公園路25號,"No.25, Gongyuan Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/5,12,合法/營業,東方商務大飯店,EAST COMMERCIAL AFFAIRS HOTEL,39568858,39568968,,east@east-hotel.com.tw,265宜蘭縣羅東鎮和平路109號,"No.109, Heping Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
2004/8/5,13,合法/營業,天隆大飯店,Tian Long hotel,39882126,39885959,,service@tl-hotel.com.tw,26241宜蘭縣礁溪鄉礁溪路五段121號,"No.121, Sec. 5, Jiaoxi Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/5,14,合法/營業,天成旅社,Tian Cheng Hotel,39322619,,,,260宜蘭縣宜蘭市康樂路9號,"No.9, Kangle Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/8/5,15,合法/營業,川湯御溫泉會館,You Chen Hotel,39880788,39887430,,chuang.tanghal@msa.hinet.net,262宜蘭縣礁溪鄉德陽路35號及39號,"No.35, Deyang Rd., Jiaoxi Township, Yilan County 262, Taiwan (R.O.C.)"
2004/8/5,16,合法/營業,福郡大飯店,Fuchun Hotel,39367799,39362455,http://www.fhotel.com.tw,,"260宜蘭縣宜蘭市神農路二段55號1,3-7樓","1,3-7F., No.55, Sec. 2, Shennong Rd., Yilan City, Yilan County 260, Taiwan (R.O.C.)"
2004/8/5,17,合法/營業,久屋麗緻客棧,Landis Inn Lotung,39613799,39613800,,landislo@ms45.hinet.net,265宜蘭縣羅東鎮公正路511號14-19樓,"14-19F., No.511, Gongzheng Rd., Luodong Township, Yilan County 265, Taiwan (R.O.C.)"
