,中文名稱,登記地址
0,美洲山莊,262宜蘭縣礁溪鄉德陽村仁愛路22號1-3樓
1,泉湯溫泉商務旅館,262宜蘭縣礁溪鄉大忠村大忠路80號
2,龍山旅社,262宜蘭縣礁溪鄉仁愛路36號
3,紘冠飯店,262宜蘭縣礁溪鄉德陽路140號
4,山水旅館,265宜蘭縣羅東鎮和平路75號
5,和斯頓旅社,262宜蘭縣礁溪鄉礁溪路五段99號1-5樓
6,華閣溫泉飯店,262宜蘭縣礁溪鄉公園路25號
7,東方商務大飯店,265宜蘭縣羅東鎮和平路109號
8,天隆大飯店,26241宜蘭縣礁溪鄉礁溪路五段121號
9,天成旅社,260宜蘭縣宜蘭市康樂路9號
10,川湯御溫泉會館,262宜蘭縣礁溪鄉德陽路35號及39號
11,福郡大飯店,"260宜蘭縣宜蘭市神農路二段55號1,3-7樓"
12,久屋麗緻客棧,265宜蘭縣羅東鎮公正路511號14-19樓
13,夏威夷汽車旅館,260宜蘭縣宜蘭市宜興路三段101號
14,威尼斯汽車旅館,265宜蘭縣羅東鎮站東路326號
15,香賓旅社,262宜蘭縣礁溪鄉忠孝路8號
16,香格里拉冬山河旅館,268宜蘭縣五結鄉協和村協和中路13巷15號
17,日新旅社,265宜蘭縣羅東鎮中山西街17-1號
18,華欣旅館,262宜蘭縣礁溪鄉礁溪路五段70號
19,福星旅社,260宜蘭縣宜蘭市康樂路15號
20,亞都旅館,262宜蘭縣礁溪鄉礁溪路五段15號
21,東海峰旅館,270宜蘭縣蘇澳鎮蘇花路3段190號
22,愛娜山莊,262宜蘭縣礁溪鄉德陽路175號1-4樓
23,晏林旅館,262宜蘭縣礁溪鄉德陽路131號1-3樓
24,藍佳大飯店,265宜蘭縣羅東鎮中山里19鄰興東路6號5-6樓
25,鴻月莊旅社,262宜蘭縣礁溪鄉德陽村溫泉路12號1-4樓
26,夢芝鄉旅社,262宜蘭縣礁溪鄉德陽路96號1-5樓
27,興華旅社,270宜蘭縣蘇澳鎮蘇南里蘇南路13號
28,阿先湯泉養生會館,262宜蘭縣礁溪鄉德陽村忠孝路103巷22弄1號1-4樓
29,櫻花別墅旅館,264宜蘭縣員山鄉員山村金泰路348巷36、38號
30,龍泉溫泉客棧,262宜蘭縣礁溪鄉玉石村礁溪路六段10號
31,賓成精品商旅,260宜蘭縣宜蘭市西後街26-1號
32,家園溫泉旅社,262宜蘭縣礁溪鄉溫泉路10號
33,亞洲旅社,270宜蘭縣蘇澳鎮蘇南里3鄰蘇南路18號
34,和風時尚會館,261宜蘭縣頭城鎮宜三路一段56號
35,伯斯飯店,260宜蘭縣宜蘭市宜興路一段366號2-6樓
36,東寶複合式旅館,265宜蘭縣羅東鎮青潭路154號
37,新悅汽車旅館,270宜蘭縣蘇澳鎮蘇東里蘇東北路2-15號
38,友愛大飯店,260宜蘭縣宜蘭市舊城東路50號11-16樓
39,帝王大飯店,262宜蘭縣礁溪鄉礁溪路五段156號
40,龍城大旅社,265宜蘭縣羅東鎮公園路96號
41,鄉都溫泉旅館,262宜蘭縣礁溪鄉德陽村13鄰礁溪路5段27號
42,金龍溫泉客棧,262宜蘭縣礁溪鄉德陽村2鄰中山路二段185號
43,華賓旅社,260宜蘭縣宜蘭市和睦路59號1-2樓
44,雪峰蝶戀溫泉會館,262宜蘭縣礁溪鄉德陽村德陽路132號1-3樓
45,金羅東大飯店,265宜蘭縣羅東鎮興東路8-1號7-9樓
46,同榮大旅社,265宜蘭縣羅東鎮中正北路32號7-10樓
47,星輝溫泉旅館,262宜蘭縣礁溪鄉德陽村德陽路199號1-3樓
48,美嘉美大飯店,262宜蘭縣礁溪鄉德陽路150號
49,可青大飯店,"260宜蘭縣宜蘭市舊城北路30-1,3,5號"
50,金格溫泉旅館,262宜蘭縣礁溪鄉礁溪路五段148號1-3樓
51,中冠礁溪大飯店,262宜蘭縣礁溪鄉德陽村德陽路6號1-6樓
52,山多利大飯店,262宜蘭縣礁溪鄉興農路291巷1號
53,明池山莊 (馬告生態公園),267宜蘭縣大同鄉英士村明池山莊1號
54,太平山莊,267宜蘭縣大同鄉太平村太平巷58-1號
55,自家園旅社,270宜蘭縣蘇澳鎮林森路6號
56,金華大旅社,270宜蘭縣蘇澳鎮冷泉路1號
57,明光旅館,262宜蘭縣礁溪鄉德陽路70號1-4樓
58,綠園旅社,262宜蘭縣礁溪鄉德陽路72號1-4樓
59,意大利旅館,262宜蘭縣礁溪鄉德陽路258號
60,戀戀溫泉旅館,262宜蘭縣礁溪鄉仁愛路9號1-2樓
61,大方旅館,"262宜蘭縣礁溪鄉德陽路223,225,227號"
62,福岡溫泉汽車旅館 (溫泉世家),262宜蘭縣礁溪鄉德陽村仁愛路132號1-5樓
63,福岡溫泉渡假飯店,262宜蘭縣礁溪鄉德陽村德陽路62巷6號1-6樓
64,媚登峰旅社,262宜蘭縣礁溪鄉公園路3號
65,帥王溫泉大飯店,26241宜蘭縣礁溪鄉公園路1號
66,宜蘭礁溪溫泉商旅,262宜蘭縣礁溪鄉德陽路198號
67,王子大飯店,260宜蘭縣宜蘭市和睦路27號
68,嘉美旅社,265宜蘭縣羅東鎮公園路100號6-8樓
69,長崎大飯店,262宜蘭縣礁溪鄉德陽村德陽路243號1-6樓
70,噶瑪蘭大飯店,268宜蘭縣五結鄉成興村五濱路一段136巷21號14樓之1
71,理想溫泉飯店,262宜蘭縣礁溪鄉德陽路160號1-3樓
72,山口旅館,262宜蘭縣礁溪鄉五峰路2號1-5樓
73,礁溪溫泉旅館,262宜蘭縣礁溪鄉仁愛路8號
74,頭城休閒旅館,261宜蘭縣頭城鎮更新路125-2號
75,蘇澳大飯店,270宜蘭縣蘇澳鎮蘇東中路7號6-7樓
76,麒麟太子大飯店,262宜蘭縣礁溪鄉礁溪路五段67號
77,貴族大旅社,265宜蘭縣羅東鎮中正路186-3號4樓
78,登園大飯店,265宜蘭縣羅東鎮安平路10號
79,大成大飯店,"260宜蘭縣宜蘭市新民路31,33,35號1-5樓"
80,川湯溫泉養生館,262宜蘭縣礁溪鄉中山路二段218號1-3樓
81,一加一旅館,260宜蘭縣宜蘭市舊城北路13-1號2-4樓
82,星鑽大飯店,260宜蘭縣宜蘭市崇聖街63-2號7-8樓
83,立崎大飯店,265宜蘭縣羅東鎮天津路42號
84,金愛大飯店,265宜蘭縣羅東鎮站前北路77號2-5樓
85,金城客棧,265宜蘭縣羅東鎮公正路60號
86,天裕大飯店,265宜蘭縣羅東鎮興東南路83號
87,福岡商務汽車旅館,260宜蘭縣宜蘭市筊白里中山路五段259號
88,阡碩大飯店,260宜蘭縣宜蘭市光復路30號5-7樓
89,五洲大旅社,"260宜蘭縣宜蘭市光復路34,36號"
90,建國大旅社,265宜蘭縣羅東鎮中正路186-4號5樓
91,金帝旅社,265宜蘭縣羅東鎮中正路186-6號7樓
92,國城旅社,"265宜蘭縣羅東鎮忠孝路51號2-5樓,53號1-5樓(離夜市只要3分鐘)"
93,東洲大旅社,265宜蘭縣羅東鎮中正路199號
94,三光旅社,262宜蘭縣礁溪鄉德陽村礁溪路五段85號
95,金和成旅社,260宜蘭縣宜蘭市康樂路30號2-5樓
96,庭園汽車旅館,262宜蘭縣礁溪鄉白雲村份尾一路2號
97,日新大飯店,270宜蘭縣蘇澳鎮江夏路53號
