中文名稱,登記地址
美洲山莊,262宜蘭縣礁溪鄉德陽村仁愛路22號1-3樓
泉湯溫泉商務旅館,262宜蘭縣礁溪鄉大忠村大忠路80號
龍山旅社,262宜蘭縣礁溪鄉仁愛路36號
紘冠飯店,262宜蘭縣礁溪鄉德陽路140號
山水旅館,265宜蘭縣羅東鎮和平路75號
和斯頓旅社,262宜蘭縣礁溪鄉礁溪路五段99號1-5樓
華閣溫泉飯店,262宜蘭縣礁溪鄉公園路25號
東方商務大飯店,265宜蘭縣羅東鎮和平路109號
天隆大飯店,26241宜蘭縣礁溪鄉礁溪路五段121號
天成旅社,260宜蘭縣宜蘭市康樂路9號
川湯御溫泉會館,262宜蘭縣礁溪鄉德陽路35號及39號
福郡大飯店,"260宜蘭縣宜蘭市神農路二段55號1,3-7樓"
久屋麗緻客棧,265宜蘭縣羅東鎮公正路511號14-19樓
夏威夷汽車旅館,260宜蘭縣宜蘭市宜興路三段101號
威尼斯汽車旅館,265宜蘭縣羅東鎮站東路326號
香賓旅社,262宜蘭縣礁溪鄉忠孝路8號
香格里拉冬山河旅館,268宜蘭縣五結鄉協和村協和中路13巷15號
日新旅社,265宜蘭縣羅東鎮中山西街17-1號
華欣旅館,262宜蘭縣礁溪鄉礁溪路五段70號
福星旅社,260宜蘭縣宜蘭市康樂路15號
亞都旅館,262宜蘭縣礁溪鄉礁溪路五段15號
東海峰旅館,270宜蘭縣蘇澳鎮蘇花路3段190號
愛娜山莊,262宜蘭縣礁溪鄉德陽路175號1-4樓
晏林旅館,262宜蘭縣礁溪鄉德陽路131號1-3樓
藍佳大飯店,265宜蘭縣羅東鎮中山里19鄰興東路6號5-6樓
鴻月莊旅社,262宜蘭縣礁溪鄉德陽村溫泉路12號1-4樓
夢芝鄉旅社,262宜蘭縣礁溪鄉德陽路96號1-5樓
興華旅社,270宜蘭縣蘇澳鎮蘇南里蘇南路13號
阿先湯泉養生會館,262宜蘭縣礁溪鄉德陽村忠孝路103巷22弄1號1-4樓
櫻花別墅旅館,264宜蘭縣員山鄉員山村金泰路348巷36、38號
龍泉溫泉客棧,262宜蘭縣礁溪鄉玉石村礁溪路六段10號
賓成精品商旅,260宜蘭縣宜蘭市西後街26-1號
家園溫泉旅社,262宜蘭縣礁溪鄉溫泉路10號
亞洲旅社,270宜蘭縣蘇澳鎮蘇南里3鄰蘇南路18號
和風時尚會館,261宜蘭縣頭城鎮宜三路一段56號
伯斯飯店,260宜蘭縣宜蘭市宜興路一段366號2-6樓
東寶複合式旅館,265宜蘭縣羅東鎮青潭路154號
新悅汽車旅館,270宜蘭縣蘇澳鎮蘇東里蘇東北路2-15號
友愛大飯店,260宜蘭縣宜蘭市舊城東路50號11-16樓
帝王大飯店,262宜蘭縣礁溪鄉礁溪路五段156號
龍城大旅社,265宜蘭縣羅東鎮公園路96號
鄉都溫泉旅館,262宜蘭縣礁溪鄉德陽村13鄰礁溪路5段27號
金龍溫泉客棧,262宜蘭縣礁溪鄉德陽村2鄰中山路二段185號
華賓旅社,260宜蘭縣宜蘭市和睦路59號1-2樓
雪峰蝶戀溫泉會館,262宜蘭縣礁溪鄉德陽村德陽路132號1-3樓
金羅東大飯店,265宜蘭縣羅東鎮興東路8-1號7-9樓
同榮大旅社,265宜蘭縣羅東鎮中正北路32號7-10樓
星輝溫泉旅館,262宜蘭縣礁溪鄉德陽村德陽路199號1-3樓
美嘉美大飯店,262宜蘭縣礁溪鄉德陽路150號
可青大飯店,"260宜蘭縣宜蘭市舊城北路30-1,3,5號"
金格溫泉旅館,262宜蘭縣礁溪鄉礁溪路五段148號1-3樓
中冠礁溪大飯店,262宜蘭縣礁溪鄉德陽村德陽路6號1-6樓
山多利大飯店,262宜蘭縣礁溪鄉興農路291巷1號
明池山莊 (馬告生態公園),267宜蘭縣大同鄉英士村明池山莊1號
太平山莊,267宜蘭縣大同鄉太平村太平巷58-1號
自家園旅社,270宜蘭縣蘇澳鎮林森路6號
金華大旅社,270宜蘭縣蘇澳鎮冷泉路1號
明光旅館,262宜蘭縣礁溪鄉德陽路70號1-4樓
綠園旅社,262宜蘭縣礁溪鄉德陽路72號1-4樓
意大利旅館,262宜蘭縣礁溪鄉德陽路258號
戀戀溫泉旅館,262宜蘭縣礁溪鄉仁愛路9號1-2樓
大方旅館,"262宜蘭縣礁溪鄉德陽路223,225,227號"
福岡溫泉汽車旅館 (溫泉世家),262宜蘭縣礁溪鄉德陽村仁愛路132號1-5樓
福岡溫泉渡假飯店,262宜蘭縣礁溪鄉德陽村德陽路62巷6號1-6樓
媚登峰旅社,262宜蘭縣礁溪鄉公園路3號
帥王溫泉大飯店,26241宜蘭縣礁溪鄉公園路1號
宜蘭礁溪溫泉商旅,262宜蘭縣礁溪鄉德陽路198號
王子大飯店,260宜蘭縣宜蘭市和睦路27號
嘉美旅社,265宜蘭縣羅東鎮公園路100號6-8樓
長崎大飯店,262宜蘭縣礁溪鄉德陽村德陽路243號1-6樓
噶瑪蘭大飯店,268宜蘭縣五結鄉成興村五濱路一段136巷21號14樓之1
理想溫泉飯店,262宜蘭縣礁溪鄉德陽路160號1-3樓
山口旅館,262宜蘭縣礁溪鄉五峰路2號1-5樓
礁溪溫泉旅館,262宜蘭縣礁溪鄉仁愛路8號
頭城休閒旅館,261宜蘭縣頭城鎮更新路125-2號
蘇澳大飯店,270宜蘭縣蘇澳鎮蘇東中路7號6-7樓
麒麟太子大飯店,262宜蘭縣礁溪鄉礁溪路五段67號
貴族大旅社,265宜蘭縣羅東鎮中正路186-3號4樓
登園大飯店,265宜蘭縣羅東鎮安平路10號
大成大飯店,"260宜蘭縣宜蘭市新民路31,33,35號1-5樓"
川湯溫泉養生館,262宜蘭縣礁溪鄉中山路二段218號1-3樓
一加一旅館,260宜蘭縣宜蘭市舊城北路13-1號2-4樓
星鑽大飯店,260宜蘭縣宜蘭市崇聖街63-2號7-8樓
立崎大飯店,265宜蘭縣羅東鎮天津路42號
金愛大飯店,265宜蘭縣羅東鎮站前北路77號2-5樓
金城客棧,265宜蘭縣羅東鎮公正路60號
天裕大飯店,265宜蘭縣羅東鎮興東南路83號
福岡商務汽車旅館,260宜蘭縣宜蘭市筊白里中山路五段259號
阡碩大飯店,260宜蘭縣宜蘭市光復路30號5-7樓
五洲大旅社,"260宜蘭縣宜蘭市光復路34,36號"
建國大旅社,265宜蘭縣羅東鎮中正路186-4號5樓
金帝旅社,265宜蘭縣羅東鎮中正路186-6號7樓
