rd_name,rd_count,use_cnt
國強一街,53,37
民光東路,81,56
天祥七街,31,25
新埔十街,16,14
德華街2,41,8
莊敬路二段,126,2
莊一街,19,2
莊二街,32,10
公六街,8,8
巨蛋園區-第三停車場,29,1
巨蛋園區-第四停車場,28,1
巨蛋園區-第五停車場,19,10
巨蛋園區-第六停車場,12,2
大林路,42,9
建國路,45,1
福吉一街,16,2
福吉二街,14,1
福吉三街,28,11
桃鶯路,15,15
昆明路,25,1
民族路橋橋下空間,61,9
大興路,17,1
江南二街,6,6
信光路,14,3
南通公園,82,2
正康二街,2,2
江南四街,19,6
大林路(機車),160,1
中山東路126巷,31,1
介壽路,56,6
南豐三街,17,3
建新街,35,5
長沙街,31,7
保羅街,25,9
陽明十二街,25,7
陽明五街,25,7
介新街,22,1
正康三街115巷,3,1
復興路,17,17
中山路,50,39
中正路,32,19
中央西路,149,139
中豐路,29,24
中美路,5,5
新生路,45,39
元化路,40,38
九和二街,23,23
九和三街,19,17
九和五街,14,13
九和六街,14,12
六和路,32,28
慈惠三街,36,31
延平路一含266巷及七和一街,130,90
大同路,7,6
民族路,113,19
三光路,99,29
環北路,103,15
環西路,157,43
明德南路,31,26
新明路,16,14
環中東路,55,45
溪洲街,26,8
文中路三,236,4
中榮路,10,10
青埔路一、二段,120,14
青心路,90,18
青昇路,163,18
新生路一,15,1
忠義路,51,34
文化二路,88,18
高鐵南路一段,133,11
忠孝路,3,2
中豐路2,15,15
復興一路1,28,27
復興一路2,97,13
萬壽路二段1,59,59
萬壽路二段3,62,7
復興三路,90,3
文化二路1,58,52
文化二路2,48,18
文化二路3,72,3
文化三路1,76,57
文化三路2,64,3
文化三路3,77,5
文二一街,36,30
文二三街,25,25
文興路,102,94
公園路,32,28
龜山一路,40,13
大同路,37,5
德明路,6,6
自強東路,73,4
自強南路,107,1
復興二路,40,4
湖邊路,29,25
同心一、二路,90,2
自強北路,23,1
南崁路一,36,32
南崁路二,17,3
新南路一段,42,41
南上路,5,5
忠孝東路,14,4
南崁路一二段,31,2
桃園街,75,71
南福街,28,25
奉化路,76,71
南祥路,52,7
光復路,38,9
忠孝西路,50,24
洛陽街,12,8
南竹路一二段,39,14
光明路一二段,73,3
南昌路,75,36
中山路,159,28
仁愛路,62,4
南山路一段,82,6
長榮路,81,9
榮安路,217,26
民生北路,7,2
吉林路,51,13
錦溪路,105,40
南工路一段,88,36
六福路,46,9
長安路二段,41,12
南工路,84,11
中正路,44,44
北龍路,91,64
神龍路,74,20
新龍路,54,5
中豐路,81,17
神龍路2,26,6
東龍路,20,6
龍元路,20,4
延平路2,98,30
環南路2段含35巷,199,29
廣明路,54,4
明德北路,6,1
育達路含二段,50,6
文化街含8巷,24,2
復興街,23,4
廣德街,23,4
廣成街,15,13
廣平街,15,13
廣泰路,10,10
廣義街,18,10
坤慶停車場,86,0
振興西路,15,5
中原路,11,2
平鎮區公所周邊路段,58,19
龍德路,37,1
龍福路,44,6
新德街,18,12
介壽路一段1,31,18
介壽路一段2,52,37
介壽路一段3,33,5
介壽路二段,51,10
義勇街,35,30
東勇街,48,3
建國路,31,1
大智路,106,7
永福西街,32,32
東勇ㄧ路,21,5
桃德路,28,4
國際路一段98巷,26,7
國際路一段,39,2
忠勇街,52,7
忠勇街60巷,24,9
中路街,31,23
中路街2(國際一、二路),27,27
中路街3(中路南街),10,9
銀和街,45,13
同和街,34,8
文昌街,19,1
大和路,58,5
金和路,87,23
忠勇六街,31,4
福國北街,58,58
東勇北路,117,2
大成路,67,61
楊新路,14,7
大模街,32,23
大平街一,82,1
大平街二,23,7
新成路,48,43
光復(北)街,19,14
新農街二,212,11
新農街一,7,7
環南路,61,5
楊新北路,72,1
秀才路,31,3
環東路一,27,2
環東路二,143,1
光前街,3,3
中山路,14,3
金山街(含中山北路390巷),25,3
慈湖路,35,33
登龍路,17,17
普濟路,58,13
康莊路一,36,32
康莊路二,26,25
復興路,52,33
文化路,107,4
中華路,203,11
民權東路,18,10
停二停車場,75,27
仁愛路,13,5
中華路,69,51
南華街,28,28
民生路,28,27
中山路,58,57
三民路一,49,49
成功路前,33,32
民族路,59,55
中正路二,116,103
中山東路一,18,18
大興西路一,48,1
復興路,83,55
成功路後,25,2
中正路一,152,152
南平路,111,105
正光街,26,9
廈門街,27,4
同德六街,7,3
寶慶路,63,63
三民路二,104,37
自強路,62,3
新埔六街,72,70
大有路,79,73
守法路,24,5
中山東路二,14,1
力行路,72,11
文中路,24,7
龍安一停車場,0,0
龍安二停車場,0,0
建國停車場,0,0
青溪停車場,0,0
三聖停車場,0,0
文中路二,181,16
國際路二段,9,2
德華街,18,1
上海路,27,25
大興西路三段,13,1
大業路,44,31
國豐三街,16,2
國強八街,4,2
長興停車場,83,11
龍南路355巷,76,14
大有路2,27,26
南山路三段,51,5
國豐五街,8,1
龍鳳三街(龍岡公園),4,0
龍鳳三街,6,3
龍泉五街,10,1
頂湖路,218,46
公園路,13,12
四維二路,93,24
縣府路園區,88,86
南順七街,8,4
五福路106巷,6,1
同德五街,2,1
五福一路,19,2
東溪路,36,1
龍潭區行政園區周邊,21,3
同德五街,2,1
同德五街,2,1
大溪月眉停車場,153,2
國豐五街,8,1
中榮路二,93,46
國際路一段,87,15
慈文路,19,7
慈光街,19,1
天祥五街,4,4
經國路,12,6
健行路,40,15
中埔二街,24,8
龍泉六街,3,1
同德七街,19,10
新埔五街,7,6
三民路橋下,40,18
龍安街,1,1
